파일명,전체 글자수,단어수,추정 토큰수
0. 序幕.md,2674,650,1871
1. 공리.md,9598,2360,6718
2. 허실.md,7612,1856,5328
3. 극한과 무한.md,6790,1638,4753
4. 곡률.md,6503,1584,4552
5. 대칭.md,6432,1542,4502
6. 불완전성.md,7396,1845,5177
7. 운동.md,6586,1607,4610
8. 장.md,6535,1578,4574
9. 동시성.md,6500,1608,4550
10. 휨.md,6512,1560,4558
11. 엔트로피.md,6748,1702,4723
12. 혼돈.md,6727,1684,4708
13. 양자.md,6583,1604,4608
14. 파동과 확률.md,6732,1717,4712
15. 불확정성.md,6620,1681,4634
16. 경로.md,6685,1709,4679
17. 얽힘.md,6561,1688,4592
18. 측정.md,7045,1769,4931
19. 깨짐.md,6551,1691,4585
20. 입자.md,6592,1681,4614
21. 빅뱅.md,6592,1655,4614
22. 암흑.md,6554,1681,4587
23. 초끈.md,6667,1691,4666
24. 다중우주.md,6617,1688,4631
25. 원자.md,6630,1639,4641
26. 결합.md,6863,1766,4804
27. 문턱.md,6555,1648,4588
28. 핵.md,6516,1657,4561
29. 세포.md,6527,1653,4568
30. 진화.md,6630,1686,4641
31. 뇌.md,6602,1701,4621
32. 의식.md,6533,1649,4573
33. 정보.md,6716,1692,4701
34. 계산.md,6714,1718,4699
35. 인공지능.md,6788,1724,4751
36. 양자계산.md,6534,1701,4573
37. 시간.md,6615,1680,4630
38. 실재.md,6617,1678,4631
39. 인식.md,6548,1684,4583
40. 의지.md,6546,1665,4582
41. 이성.md,6554,1621,4587
42. 해체.md,6726,1590,4708
43. 경계.md,6575,1656,4602
44. 침묵.md,6557,1690,4589
45. 음계.md,6536,1697,4575
46. 산조.md,6570,1706,4599
47. 시.md,6521,1707,4564
48. 비극.md,7057,1691,4939
49. 미술.md,6568,1637,4597
50. 건축.md,6559,1694,4591
51. 우주.md,6548,1709,4583
52. 공존.md,6574,1687,4601
53. 인간.md,6555,1655,4588
"54. 終幕 — 答 다시, 하늘에 묻다.md",2849,731,1994
